Model,Accuracy,Precision,Recall,F-score
Autoformer,0.9502,0.77698,0.59612,0.6683
CATCH,0.9503600000000001,0.76866,0.59364,0.6646
DACAD,0.95224,0.7818,0.6019,0.67548
Fourier_Transformer,0.94948,0.7517199999999999,0.61402,0.6656
ModernTCN,0.9674799999999999,0.87314,0.75428,0.8029400000000001
OmniAnomaly,0.9527599999999999,0.7782600000000001,0.60788,0.67818
StreamDaD,0.9694200000000001,0.8800800000000001,0.77034,0.81534
TimesNet,0.96854,0.87848,0.75512,0.8065999999999999
TranAD,0.96896,0.88064,0.75972,0.81028
Transformer,0.95006,0.7670399999999999,0.58768,0.661
