Model,Peak Memory (MiB),Avg Memory (MiB),Max GPU Util (%),Avg GPU Util (%)
Autoformer,326.0,242.61943319838056,32.0,18.647773279352226
DACAD,6404.0,6398.229390681004,31.0,17.56989247311828
Fourier_Transformer,2004.0,812.7498710675605,70.0,58.70139247034554
OmniAnomaly,298.0,295.3353293413174,39.0,21.535928143712574
TimesNet,430.0,407.50696055684455,96.0,84.11890951276102
TranAD,406.0,364.8583420776495,96.0,78.30954879328436
Transformer,494.0,465.9653179190751,71.0,42.69653179190752
ModernTCN,212.0,202.95982142857142,64.0,43.90625
CATCH,826.0,556.0143240823635,78.0,65.14055505819158
StreamDaD,2430.0,2403.8396226415093,100.0,96.79245283018868
