Model,Accuracy,Precision,Recall,F-score,Train Time (s)
Autoformer,0.9654,0.9064,0.7497,0.8206,367.0
DACAD,0.9657,0.9073,0.7512,0.8219,177.0
Fourier_Transformer,0.9656,0.907,0.7509,0.8216,1228.0
OmniAnomaly,0.9598,0.8921,0.7039,0.7869,243.0
TimesNet,0.9633,0.8878,0.7463,0.8109,704.0
TranAD,0.9642,0.8916,0.7521,0.816,467.0
Transformer,0.9653,0.9061,0.7486,0.8198,225.0
ModernTCN,0.9558,0.8636,0.6901,0.7672,330.0
CATCH,0.9657,0.907,0.7517,0.8221,651.373
StreamDaD,0.9636,0.8896,0.7475,0.8124,250.077
